"Idade";"Cor";"Sexo";"Regiao";"Ocupacao";"Renda";"Escolaridade";"Classe_Social"
22;4;1;4;2;3;5;1
22;4;2;4;1;3;5;3
40;4;1;4;6;3;7;1
36;1;2;4;6;3;5;1
33;4;2;4;1;4;5;3
51;4;2;4;1;3;7;3
36;4;1;4;6;3;2;1
28;4;1;4;6;3;5;1
34;4;1;4;2;4;6;1
24;1;2;4;1;4;5;3
26;4;1;4;6;3;5;1
41;2;1;4;2;4;5;1
16;4;1;4;6;3;2;1
59;4;1;4;1;3;2;3
44;4;2;4;2;3;2;1
40;4;1;4;1;3;2;3
37;4;1;4;2;3;5;1
37;4;2;4;1;3;6;3
30;1;2;4;4;4;6;3
49;4;1;4;1;4;5;3
30;4;1;4;2;3;7;1
46;4;1;4;1;4;5;3
53;4;2;4;6;4;5;1
24;4;1;4;1;4;6;3
36;2;1;4;2;4;7;2
21;2;2;4;2;4;6;2
59;1;1;4;2;7;2;1
37;4;1;4;1;5;5;3
47;4;1;4;2;5;7;2
27;1;1;4;6;3;5;1
44;4;2;4;6;3;2;1
62;4;1;4;2;4;4;1
27;4;1;4;6;4;6;1
47;4;1;4;1;3;7;3
37;4;1;4;6;4;5;1
47;4;2;4;1;4;7;3
53;4;1;4;2;4;4;1
34;4;2;4;6;4;5;1
29;4;1;4;2;4;6;1
53;4;2;4;6;4;3;1
24;4;1;4;1;3;5;3
55;3;2;4;2;4;5;1
53;1;1;4;1;5;3;3
49;4;2;4;2;5;5;1
23;4;1;4;1;3;6;3
31;1;2;4;2;4;7;2
35;1;1;4;2;4;5;1
41;4;2;4;2;4;7;2
48;4;1;4;6;5;7;1
54;4;2;4;2;5;4;1
19;4;2;4;5;5;5;2
38;4;2;4;2;5;7;2
48;4;1;4;1;5;7;3
22;4;1;4;1;5;5;3
49;4;1;4;2;5;7;2
36;4;2;4;2;5;7;2
31;2;1;4;4;3;5;3
39;1;2;4;4;3;7;3
45;1;1;4;2;7;7;2
46;1;2;4;2;7;7;2
30;1;1;4;1;7;7;3
32;4;1;4;2;5;6;1
26;4;2;4;2;5;6;2
24;1;1;4;2;4;5;1
54;1;1;4;5;4;7;2
51;1;2;4;6;4;2;1
50;1;1;4;1;4;5;3
19;1;2;4;2;4;4;1
19;4;1;4;1;6;5;3
60;4;1;4;2;3;4;1
31;4;2;4;2;4;7;1
32;4;1;4;2;4;6;1
30;1;1;4;1;3;3;3
39;4;1;4;2;3;5;1
36;1;2;4;2;4;7;2
70;1;1;4;2;4;3;1
53;4;1;4;2;4;1;1
25;4;1;4;6;4;1;1
44;4;1;4;2;3;7;1
19;4;2;4;1;3;5;3
75;4;1;4;6;4;1;1
66;4;2;4;1;4;5;3
53;1;2;4;2;3;5;1
39;4;2;4;2;3;5;1
42;4;1;4;1;3;5;3
19;4;2;4;2;3;4;1
69;1;1;4;2;9;7;2
49;1;1;4;2;4;7;2
48;1;2;4;2;4;7;2
22;1;2;4;2;4;6;1
45;4;2;4;1;4;7;3
47;4;1;4;2;4;5;1
44;4;1;4;2;4;5;1
40;4;2;4;2;4;7;2
54;4;1;4;6;3;2;1
45;4;1;4;6;3;2;1
37;4;1;4;2;3;5;2
42;4;1;4;6;3;3;1
37;4;1;4;2;3;5;1
35;4;2;4;2;3;5;1
52;1;1;4;6;4;5;1
20;1;2;4;6;4;5;1
19;1;1;4;1;4;5;3
33;4;1;4;1;4;7;3
35;1;1;4;2;3;7;1
56;4;1;4;2;6;7;2
56;4;2;4;1;6;7;3
33;4;2;4;2;6;7;2
47;4;1;4;1;4;7;3
46;2;1;4;1;4;7;3
45;4;2;4;6;4;7;1
38;2;1;4;1;4;5;3
50;4;1;4;1;6;7;3
39;4;2;4;2;6;7;1
50;4;2;4;1;4;7;3
33;1;1;4;1;7;7;3
32;1;2;4;2;7;7;2
48;4;1;4;4;5;5;3
52;4;2;4;2;5;5;1
37;1;1;4;1;5;7;3
38;4;2;4;6;5;6;1
68;4;1;4;2;4;2;1
31;4;1;4;2;4;6;1
29;4;1;4;2;4;3;1
25;4;1;4;1;4;7;3
57;4;2;4;2;5;7;2
51;1;2;4;2;6;7;2
48;1;2;4;1;4;7;3
28;4;1;4;1;4;7;3
25;1;2;4;2;4;7;2
45;1;2;4;2;4;7;2
39;1;2;4;2;4;7;2
51;4;1;4;6;4;7;1
67;1;2;4;2;6;7;2
60;4;2;4;6;4;5;1
42;4;1;4;2;4;5;1
52;4;1;4;1;5;7;3
46;4;1;4;6;5;7;1
59;4;1;4;6;3;5;1
49;4;2;4;1;4;7;3
42;4;2;4;2;3;5;1
43;4;1;4;4;4;6;3
44;4;1;4;1;6;7;3
34;4;2;4;6;6;7;1
33;1;2;4;5;6;7;2
36;1;1;4;2;6;5;2
52;5;1;4;1;7;4;3
32;4;2;4;4;4;7;3
32;4;2;4;2;4;7;2
48;4;1;4;6;3;2;1
38;4;2;4;2;5;7;2
32;1;1;4;1;4;5;3
66;4;1;4;6;4;2;1
63;1;1;4;6;4;5;1
49;1;2;4;2;4;5;1
42;1;2;4;6;3;5;1
37;4;1;4;6;4;2;1
42;4;2;4;1;4;7;3
38;1;1;4;2;3;5;1
34;4;2;4;6;3;5;1
34;1;1;4;6;3;5;1
24;4;2;4;6;3;5;1
25;1;1;4;2;4;7;1
60;4;1;4;2;4;7;2
41;4;2;4;1;4;7;3
21;4;1;4;1;4;6;3
39;4;1;4;4;5;5;3
41;4;2;4;4;5;5;3
45;4;2;4;2;4;7;2
36;4;1;4;2;4;5;1
43;1;1;4;2;6;6;2
53;4;2;4;1;3;7;3
52;4;1;4;2;3;5;1
31;4;2;4;2;3;5;1
41;4;2;4;1;3;7;3
36;4;2;4;2;8;7;2
51;4;2;4;1;5;7;3
62;1;1;4;6;3;5;1
44;1;2;4;4;3;5;3
56;2;2;4;2;4;3;1
44;1;2;4;6;3;5;1
61;1;1;4;2;3;3;1
22;1;1;4;4;3;5;3
26;4;1;4;2;3;5;1
32;4;1;4;2;3;5;1
59;4;1;4;2;3;5;1
49;4;1;4;6;3;2;1
51;1;2;4;1;3;4;3
44;4;1;4;1;4;5;3
44;1;1;4;6;3;3;1
27;4;1;4;6;3;4;1
24;4;1;4;6;3;4;1
68;4;1;4;1;6;5;3
33;4;1;4;2;6;7;2
31;4;2;4;2;6;7;2
35;4;1;4;2;4;6;1
46;4;1;4;1;4;7;3
36;4;2;4;2;4;5;1
24;4;1;4;2;4;7;1
48;4;2;4;1;4;5;3
43;2;1;4;2;4;5;1
22;2;2;4;2;4;6;2
22;2;2;4;2;4;6;2
58;4;1;4;4;3;5;3
47;1;2;4;4;3;5;3
62;1;1;4;6;3;5;1
40;4;2;4;6;3;7;1
25;4;2;4;2;3;7;2
24;4;2;4;2;3;7;2
39;2;1;4;6;4;2;1
62;4;2;4;2;3;2;1
39;4;1;4;6;3;5;1
36;2;1;4;6;3;5;1
57;2;2;4;4;3;2;3
39;1;2;4;6;3;5;1
33;4;1;4;1;5;6;3
55;4;2;4;1;3;5;3
63;4;1;4;6;4;2;1
44;4;2;4;2;3;5;1
38;2;1;4;2;3;5;1
28;4;2;4;1;3;7;3
64;1;2;4;2;4;5;2
38;2;2;4;6;3;5;1
42;4;1;4;2;3;5;1
46;1;1;4;2;5;7;2
37;4;2;4;2;5;7;2
40;4;1;4;2;3;1;1
28;4;1;4;6;3;5;1
39;4;1;4;2;3;4;1
27;4;2;4;6;3;4;1
42;4;1;4;2;3;2;1
21;4;2;4;6;3;5;1
23;1;2;4;2;4;5;1
45;1;1;4;2;6;5;1
47;4;2;4;6;3;2;1
27;1;1;4;2;3;5;1
24;4;1;4;6;3;5;1
60;4;1;4;5;4;2;1
33;1;1;4;1;5;7;3
36;1;2;4;2;4;7;2
28;1;1;4;1;3;6;3
49;1;2;4;4;3;5;3
29;1;2;4;6;3;3;1
32;4;1;4;2;4;5;1
54;4;2;4;1;4;5;3
29;4;2;4;2;4;7;2
44;4;1;4;2;5;5;1
24;4;1;4;2;4;6;2
41;4;1;4;1;3;2;3
40;1;2;4;1;3;7;3
63;4;1;4;3;3;5;1
30;4;1;4;1;3;6;3
49;4;1;4;2;5;7;1
42;4;2;4;2;5;7;1
35;4;1;4;2;3;5;1
58;4;1;4;2;3;1;1
27;4;2;4;1;3;7;3
49;1;2;4;2;6;7;2
27;4;1;4;1;6;7;3
58;5;1;4;2;4;7;2
25;4;2;4;2;3;7;2
30;4;2;4;2;5;7;2
28;4;1;4;2;5;5;2
31;1;1;4;2;7;7;2
47;5;2;4;2;3;7;2
50;5;1;4;2;3;5;2
45;4;1;4;1;3;5;3
34;4;1;4;2;3;7;2
64;1;2;4;1;4;5;3
27;1;1;4;1;4;6;3
37;1;1;4;5;7;7;2
40;4;2;4;5;7;7;2
62;4;1;4;2;4;5;1
18;4;1;4;1;4;4;3
29;1;2;4;1;9;7;3
28;4;1;4;2;4;6;1
40;4;1;4;1;4;4;3
31;4;2;4;1;5;7;3
29;4;1;4;2;8;7;2
43;2;1;4;6;4;5;1
28;1;1;4;6;4;5;1
22;1;2;4;2;4;5;1
76;4;1;4;6;3;1;1
46;4;1;4;6;3;5;1
48;1;2;4;1;5;5;3
32;1;2;4;2;5;5;1
24;1;1;4;6;5;6;1
28;4;1;4;4;3;5;3
41;4;1;4;1;3;6;3
24;1;1;4;4;3;4;3
33;4;2;4;2;4;7;2
37;4;1;4;2;4;5;1
36;4;1;4;6;3;2;1
33;4;2;4;6;3;2;1
38;2;1;4;2;6;7;2
26;1;1;4;2;4;5;1
36;1;2;4;2;4;5;1
64;4;1;4;6;3;2;1
55;1;2;4;1;5;5;3
33;2;1;4;1;6;6;3
34;1;1;4;1;6;6;3
53;1;2;4;1;8;7;3
56;1;1;4;2;8;7;2
41;1;2;4;6;3;5;1
41;4;1;4;6;3;7;1
38;4;1;4;6;3;4;1
44;4;1;4;6;4;2;1
35;4;2;4;6;4;4;1
46;4;1;4;6;3;5;1
41;4;1;4;2;3;5;1
35;4;2;4;2;3;5;1
56;4;1;4;1;5;7;3
50;4;2;4;1;5;5;3
26;4;1;4;6;3;5;1
28;4;1;4;6;3;6;1
40;4;1;4;6;3;2;1
38;4;1;4;2;4;7;1
45;4;2;4;1;4;5;3
28;4;1;4;2;4;7;2
67;4;1;4;2;4;3;1
43;2;1;4;2;4;3;1
35;4;1;4;2;4;6;1
28;4;2;4;1;4;7;3
66;4;1;4;6;4;3;1
61;4;2;4;1;4;7;3
52;4;1;4;6;3;5;1
47;4;2;4;6;3;2;1
25;1;1;4;6;3;5;1
36;2;1;4;1;3;7;3
51;4;2;4;6;4;5;1
25;4;1;4;1;4;6;3
43;3;2;4;6;3;1;1
39;4;1;4;6;3;5;1
38;4;2;4;6;3;5;1
62;4;1;4;6;3;3;1
50;4;1;4;6;3;2;1
47;4;1;4;6;3;5;1
57;1;2;4;2;4;5;1
43;4;2;4;2;3;5;1
53;3;1;4;6;3;4;1
46;4;2;4;6;3;3;1
26;4;1;4;6;3;4;1
50;4;1;4;1;3;5;3
45;4;2;4;6;3;5;1
20;4;1;4;6;3;2;1
37;4;1;4;6;3;5;1
21;1;2;4;6;3;5;1
24;4;1;4;2;3;3;1
20;4;1;4;3;3;4;1
49;4;1;4;2;3;7;1
37;4;2;4;2;3;7;1
62;4;2;4;2;3;7;1
43;4;1;4;2;3;5;1
48;2;2;4;6;4;5;1
32;2;1;4;2;4;7;1
37;2;2;4;2;4;5;1
58;4;1;4;6;3;2;1
20;4;1;4;6;3;2;1
67;4;2;4;1;4;5;3
35;4;2;4;1;4;7;3
38;1;1;4;6;4;3;1
48;4;2;4;2;4;7;2
52;4;1;4;2;4;5;1
23;4;2;4;1;3;5;3
55;4;1;4;2;8;7;2
47;4;2;4;6;3;5;1
44;2;1;4;4;3;3;3
36;2;2;4;1;3;7;3
30;4;1;4;2;6;7;2
33;1;2;4;2;6;7;2
44;4;1;4;2;8;7;2
42;1;2;4;1;8;7;3
20;4;2;4;1;8;6;3
31;4;1;4;6;4;5;1
29;4;2;4;2;4;7;2
26;4;1;4;1;4;6;3
54;4;1;4;2;4;5;1
41;1;2;4;2;4;2;1
53;1;1;4;4;4;7;3
47;4;2;4;1;4;5;3
24;1;1;4;1;4;6;3
20;1;2;4;1;4;6;3
28;4;2;4;2;5;7;2
32;4;1;4;2;5;7;2
26;4;2;4;1;3;6;3
48;2;2;4;6;3;5;1
42;2;2;4;4;3;5;3
35;1;1;4;2;3;5;1
39;4;1;4;1;4;7;3
35;4;2;4;1;4;6;3
31;4;1;4;6;3;6;1
30;1;2;4;2;3;4;1
45;4;1;4;2;3;5;1
20;4;1;4;2;3;6;1
33;4;1;4;1;5;5;3
20;4;2;4;2;5;4;1
48;1;1;4;6;4;1;1
23;4;2;4;4;4;5;3
23;4;1;4;4;4;4;3
64;4;1;4;6;4;2;1
41;4;1;4;2;3;4;1
31;4;1;4;6;4;2;1
65;1;2;4;6;4;2;1
59;1;2;4;2;5;7;2
28;4;1;4;2;3;4;1
25;4;1;4;2;5;7;2
21;1;2;4;4;5;6;3
45;4;1;4;6;3;5;1
44;4;1;4;3;3;5;1
40;2;2;4;2;5;7;1
42;2;1;4;2;5;7;2
50;4;1;4;6;4;5;1
51;4;2;4;1;4;5;3
25;1;2;4;2;4;7;2
43;4;1;4;1;7;7;3
30;4;1;4;2;3;5;1
62;1;2;4;6;3;3;1
32;1;2;4;2;6;7;2
34;1;1;4;2;6;7;2
39;4;2;4;1;4;7;3
24;4;1;4;1;4;5;3
31;4;1;4;1;4;7;3
37;1;1;4;1;4;6;3
35;1;2;4;2;4;5;1
31;1;2;4;2;6;7;2
42;4;2;4;2;5;7;2
63;1;1;4;4;4;5;3
44;4;2;4;4;4;2;3
22;4;2;4;4;4;5;3
38;4;2;4;2;7;7;2
61;4;2;4;1;4;5;3
67;4;1;4;2;6;2;2
56;4;1;4;2;5;5;2
53;4;2;4;2;5;7;2
52;4;2;4;2;3;7;2
66;4;1;4;1;4;6;3
54;4;1;4;6;3;2;1
39;4;1;4;6;3;5;1
45;4;2;4;2;3;5;1
35;4;2;4;2;3;7;2
32;2;1;4;1;5;7;3
34;1;2;4;1;5;5;3
55;1;2;4;4;3;5;3
28;4;2;4;2;6;6;2
32;4;1;4;2;5;3;1
60;4;1;4;5;6;7;2
57;4;2;4;2;6;7;2
28;4;1;4;2;6;7;2
50;1;2;4;6;4;2;1
45;1;2;4;6;3;5;1
35;2;2;4;1;3;7;3
24;4;2;4;6;4;4;1
42;4;1;4;6;4;2;1
40;1;2;4;5;6;5;2
26;1;1;4;2;6;5;2
41;2;1;4;6;3;2;1
24;4;1;4;6;3;4;1
59;4;2;4;1;5;5;3
31;4;1;4;1;5;7;3
24;4;1;4;1;5;6;3
43;4;1;4;2;4;5;1
19;4;1;4;4;4;5;3
64;4;2;4;6;4;5;1
19;4;2;4;1;3;5;3
61;4;2;4;2;3;2;1
42;4;2;4;2;4;7;2
33;4;1;4;2;4;5;2
23;4;1;4;6;4;6;1
19;4;2;4;2;4;5;1
35;1;2;4;1;3;5;3
45;4;2;4;6;3;7;1
50;4;1;4;6;3;2;1
30;2;1;4;6;3;4;1
28;4;1;4;4;3;5;3
24;4;1;4;6;3;5;1
46;1;2;4;2;3;5;1
20;1;1;4;2;3;2;1
58;1;1;4;2;3;5;1
23;1;1;4;2;3;2;1
48;4;2;4;6;3;2;1
30;4;2;4;6;3;5;1
25;4;1;4;6;3;2;1
28;4;1;4;1;3;6;3
39;4;2;4;2;3;7;2
56;4;1;4;2;4;4;1
26;4;1;4;2;4;5;1
65;1;1;4;2;4;3;1
61;4;2;4;6;4;2;1
31;4;2;4;2;3;5;1
62;4;2;4;6;3;5;1
48;4;2;4;6;4;5;1
30;4;1;4;6;4;7;1
27;1;2;4;6;4;5;1
46;4;2;4;2;4;7;2
47;4;1;4;2;4;7;2
36;4;1;4;2;4;4;1
58;4;1;4;6;4;2;1
70;4;2;4;6;6;2;1
33;4;2;4;2;6;7;2
54;4;2;4;5;6;2;2
25;4;2;4;2;6;7;2
69;1;1;4;6;4;2;1
63;4;1;4;4;3;4;3
40;4;2;4;6;3;5;1
46;2;1;4;6;3;4;1
48;4;2;4;2;4;7;2
51;4;1;4;6;4;2;1
41;4;2;4;6;4;5;1
25;1;1;4;6;4;5;1
33;4;1;4;2;4;5;1
59;1;1;4;2;4;5;1
23;4;2;4;6;3;4;1
26;4;1;4;6;3;5;1
38;4;1;4;2;4;2;1
44;4;2;4;6;4;1;1
31;4;2;4;2;3;5;1
35;4;2;4;2;3;5;1
27;1;2;4;4;3;2;3
33;4;1;4;4;3;5;3
42;4;1;4;4;3;6;3
42;4;2;4;1;3;5;3
39;4;1;4;2;3;2;1
32;4;1;4;6;3;6;1
28;4;2;4;2;3;7;1
57;4;1;4;6;4;2;1
32;4;2;4;1;4;7;3
39;4;1;4;2;4;6;2
57;4;2;4;4;3;4;3
55;4;1;4;6;3;5;1
43;4;2;4;6;3;5;1
53;1;1;4;2;3;3;1
57;2;1;4;2;4;5;1
31;2;1;4;1;4;5;3
55;4;2;4;6;3;2;1
32;4;1;4;1;4;7;3
32;1;2;4;4;4;7;3
59;1;1;4;2;7;7;2
48;4;2;4;2;6;7;2
22;4;2;4;2;6;6;2
51;4;2;4;2;4;7;2
20;4;1;4;1;4;6;3
46;1;1;4;2;3;2;1
53;4;2;4;1;3;5;3
24;4;1;4;6;3;6;1
36;4;1;4;6;3;5;1
44;4;1;4;6;4;2;1
43;4;2;4;4;4;6;3
45;4;2;4;2;6;7;2
39;4;2;4;1;3;6;3
36;4;1;4;2;3;5;1
39;1;1;4;1;4;7;3
47;4;1;4;2;3;6;1
30;2;2;4;6;3;2;1
47;1;1;4;2;6;7;1
44;1;2;4;5;6;7;2
38;4;2;4;2;3;5;1
38;4;1;4;1;3;6;3
25;1;1;4;2;4;6;1
22;1;2;4;2;4;5;1
22;4;1;4;6;4;5;1
50;4;2;4;6;3;5;1
53;4;1;4;4;4;2;3
52;4;2;4;6;4;4;1
21;4;1;4;1;4;5;3
61;2;2;4;1;3;5;3
34;4;1;4;6;3;4;1
38;1;2;4;1;3;5;3
44;4;1;4;2;3;3;1
41;1;2;4;6;3;2;1
51;2;1;4;6;3;2;1
37;2;2;4;6;3;4;1
37;4;2;4;4;3;5;3
36;1;1;4;6;3;7;1
40;4;1;4;5;3;2;2
37;4;2;4;2;3;5;1
16;4;1;4;2;3;2;1
34;4;1;4;6;3;2;1
43;1;2;4;6;3;4;1
44;1;1;4;6;3;4;1
38;1;1;4;1;3;5;3
36;4;2;4;1;4;5;3
22;4;2;4;2;4;5;1
28;4;1;4;6;4;5;1
49;1;2;4;1;4;5;3
46;2;1;4;1;4;6;3
38;4;2;4;4;3;2;3
31;4;1;4;6;3;2;1
48;4;1;4;2;3;5;1
36;4;2;4;1;3;7;3
20;4;1;4;6;3;1;1
34;1;1;4;2;4;5;1
58;4;2;4;6;3;3;1
21;1;1;4;6;3;2;1
43;4;2;4;1;4;5;3
22;4;2;4;1;4;6;3
68;4;2;4;6;4;2;1
42;4;1;4;6;4;4;1
33;4;2;4;2;3;5;1
50;4;1;4;6;3;2;1
24;4;2;4;2;4;6;1
19;4;2;4;2;4;5;1
29;4;2;4;2;4;7;2
50;1;2;4;2;4;7;2
32;1;2;4;2;3;4;1
57;4;2;4;2;4;7;2
46;4;1;4;2;4;7;1
63;4;2;4;1;4;5;3
47;1;1;4;6;4;5;1
42;4;2;4;2;4;6;1
29;4;1;4;1;3;5;3
58;1;1;4;2;4;5;1
55;1;2;4;1;4;5;3
58;4;2;4;1;3;5;3
55;4;1;4;2;4;7;2
48;4;2;4;2;4;7;2
50;3;1;4;4;6;7;3
54;1;2;4;2;6;7;2
62;4;1;4;1;4;7;3
54;4;1;4;1;4;5;3
50;1;1;4;2;8;7;2
60;1;1;4;2;7;7;2
47;4;1;4;6;3;2;1
44;2;2;4;6;3;1;1
22;4;1;4;2;3;5;1
51;4;2;4;4;3;5;3
50;4;1;4;2;3;2;2
36;4;1;4;6;3;2;1
38;4;1;4;6;4;5;1
26;4;1;4;2;3;5;1
51;1;2;4;4;4;5;3
57;2;1;4;6;4;5;1
36;2;1;4;2;4;5;1
33;2;2;4;4;4;7;3
21;4;1;4;1;4;6;3
39;2;2;4;4;3;5;3
35;4;1;4;2;3;4;1
26;2;1;4;6;3;2;1
24;4;2;4;2;3;5;1
41;1;1;4;2;3;2;1
42;4;2;4;6;3;4;1
73;4;1;4;2;3;2;1
65;4;1;4;5;7;7;1
53;4;2;4;2;7;7;2
28;4;1;4;6;3;3;1
44;4;2;4;4;3;5;3
37;4;1;4;2;3;4;1
44;4;1;4;1;4;7;3
48;4;2;4;6;4;2;1
24;4;1;4;2;4;5;1
20;4;1;4;6;4;5;1
32;4;2;4;1;3;5;3
44;4;1;4;2;3;5;1
40;4;1;4;6;3;4;1
20;4;1;4;6;3;5;1
66;4;1;4;6;3;3;1
28;4;1;4;6;3;4;1
29;1;1;4;6;5;5;1
59;4;2;4;1;6;7;3
45;1;2;4;2;5;7;1
46;2;1;4;1;5;7;3
30;1;2;4;2;4;7;2
49;4;1;4;2;4;5;1
58;2;2;4;4;3;5;3
54;1;1;4;2;3;2;1
45;4;2;4;6;3;3;1
50;4;1;4;1;3;2;3
39;4;1;4;2;5;7;2
20;4;1;4;1;5;5;3
36;4;1;4;1;4;6;3
23;1;1;4;1;4;5;3
46;4;1;4;6;6;5;1
50;4;1;4;2;4;4;1
46;4;2;4;6;4;5;1
20;4;1;4;2;4;4;1
50;4;2;4;6;3;4;1
61;4;1;4;2;3;2;1
21;4;2;4;1;3;5;3
44;4;2;4;2;4;7;2
23;4;2;4;1;4;6;3
20;4;1;4;2;4;6;2
46;4;1;4;6;3;2;1
29;4;1;4;4;3;5;3
54;4;2;4;4;3;5;3
35;4;1;4;6;3;2;1
33;4;2;4;1;3;5;3
43;2;1;4;6;3;5;1
52;4;1;4;4;3;2;3
41;4;2;4;6;3;5;1
21;4;1;4;6;3;5;1
62;4;1;4;2;3;1;1
58;4;1;4;5;5;5;2
23;4;1;4;1;5;5;3
67;1;2;4;2;4;7;2
43;1;1;4;4;4;5;3
22;1;1;4;6;4;5;1
21;1;2;4;2;4;5;1
56;4;1;4;6;4;1;1
28;1;1;4;2;4;7;2
34;1;1;4;2;3;3;1
29;1;1;4;1;3;6;3
31;5;2;4;1;3;6;3
33;4;2;4;6;3;5;1
32;4;2;4;1;3;7;3
45;4;2;4;6;4;4;1
46;1;1;4;2;3;5;1
59;2;2;4;6;4;2;1
44;1;1;4;6;4;2;1
19;4;2;4;1;4;5;3
49;5;2;4;4;3;5;3
65;4;1;4;2;3;5;1
23;1;2;4;2;3;2;1
52;4;2;4;6;3;5;1
31;4;2;4;4;3;5;3
18;4;2;4;2;3;4;1
36;4;2;4;1;3;5;3
26;4;1;4;1;3;7;3
40;1;2;4;6;3;5;1
34;4;1;4;2;4;5;1
51;4;2;4;2;4;7;2
39;4;1;4;6;3;4;1
33;4;1;4;6;3;2;1
65;4;1;4;6;4;2;1
62;4;1;4;2;3;2;1
22;2;1;4;2;3;5;1
55;1;2;4;1;3;5;3
44;1;2;4;6;3;7;1
58;1;1;4;6;3;5;1
45;2;1;4;6;3;5;1
48;4;1;4;2;4;5;1
45;4;2;4;1;4;5;3
39;1;1;4;4;3;6;3
45;4;2;4;4;3;5;3
24;4;2;4;2;3;5;1
20;4;1;4;6;3;5;1
36;1;1;4;6;3;3;1
56;4;1;4;6;4;2;1
25;4;1;4;2;4;2;1
28;4;1;4;1;3;5;3
40;4;1;4;1;5;5;3
23;4;2;4;4;5;6;3
41;4;1;4;2;3;6;1
19;4;2;4;6;3;5;1
30;4;1;4;2;3;3;1
17;4;2;4;2;3;3;1
18;4;1;4;6;3;2;1
29;4;1;4;6;4;5;1
33;4;2;4;2;4;5;1
31;4;1;4;6;3;5;1
38;4;2;4;2;4;7;2
43;4;1;4;2;4;3;1
33;4;1;4;2;4;5;1
33;4;2;4;1;4;5;3
28;4;1;4;3;3;2;1
24;4;2;4;2;3;5;1
35;4;1;4;2;3;3;1
31;2;2;4;2;3;2;1
36;1;1;4;6;3;5;1
44;4;1;4;5;3;2;1
22;1;1;4;2;3;2;1
49;4;1;4;3;3;2;1
46;1;2;4;6;3;2;1
24;4;1;4;6;3;2;1
33;4;1;4;6;3;2;1
42;2;1;4;5;3;1;2
40;4;2;4;2;3;5;1
23;4;2;4;6;3;5;1
16;4;1;4;2;3;2;1
38;1;1;4;6;3;2;1
43;4;1;4;6;3;1;1
33;1;1;4;2;3;2;1
36;4;1;4;6;3;4;1
35;4;2;4;6;3;5;1
25;4;1;4;6;3;3;1
20;2;1;4;1;3;4;3
34;4;2;4;6;3;3;1
30;2;1;4;6;3;2;1
31;4;1;4;6;3;2;1
59;4;1;4;6;3;2;1
58;4;2;4;6;3;1;1
17;4;1;4;1;3;2;3
62;4;1;4;5;4;2;1
51;4;1;4;2;4;3;2
48;1;1;4;5;3;2;1
50;4;1;4;5;3;2;1
81;4;1;4;5;4;1;1
60;1;1;4;5;3;2;1
56;1;2;4;1;4;2;3
64;4;1;4;5;3;2;1
53;4;2;4;3;3;2;1
76;2;1;4;5;4;2;1
37;4;1;4;5;3;4;1
58;1;1;4;5;3;2;1
63;1;1;4;5;5;2;1
48;4;1;4;5;3;2;1
32;4;2;4;1;4;5;3
38;1;1;4;5;4;3;1
64;4;1;4;5;4;1;1
53;4;1;4;5;3;1;1
38;4;1;4;6;3;5;1
36;1;1;4;5;3;7;1
